0,5030,12900,50,,,,,,,,,,,
200,5029,12900,50,,,,,,,,,,,
400,5027,12900,50,,,,,,,,,,,
600,5023,12900,50,,,,,,,,,,,
800,5017,12900,50,,,,,,,,,,,
1000,5010,12900,50,,,,,,,,,,,
1200,5001,12900,50,,,,,,,,,,,
1400,4946,11000,50,,,,,,,,,,,
1600,4877,11000,50,,,,,,,,,,,
1800,4799,11000,50,,,,,,,,,,,
2000,4711,11000,50,,,,,,,,,,,
2200,4614,11000,50,,,,,,,,,,,
2400,4507,11000,50,,,,,,,,,,,
2600,4390,11000,50,,,,,,,,,,,
2800,4263,11000,50,,,,,,,,,,,
3000,4123,11000,50,,,,,,,,,,,
3200,3972,11000,50,,,,,,,,,,,
3400,3808,11000,50,,,,,,,,,,,
3480,3739,11000,50,,,,,,,,,,,
3600,2838,11000,50,,,,,,,,,,,
3800,2668,5510,35,,,,,,,,,,,
4000,2596,5510,35,,,,,,,,,,,
4200,2525,5510,35,,,,,,,,,,,
4400,2452,5510,35,,,,,,,,,,,
4600,2379,5510,35,,,,,,,,,,,
4800,2302,5510,35,,,,,,,,,,,
5000,2227,5510,35,,,,,,,,,,,
5200,2144,5510,35,,,,,,,,,,,
5400,2060,5510,35,,,,,,,,,,,
5701,2010,5510,35,,,,,,,,,,,
5771,1985,5510,35,,,,,,,,,,,
5871,1948,5510,35,,,,,,,,,,,
5971,1907,5510,35,,,,,,,,,,,
5971,1853,5510,35,,,,,,,,,,,
6061,1817,5510,35,,,,,,,,,,,
6151,1780,5510,35,,,,,,,,,,,
6151,1719,5510,35,,,,,,,,,,,
6256,1282,5510,35,,,,,,,,,,,
6332,880,5510,35,,,,,,,,,,,
6371,300,5510,35,,,,,,,,,,,
6372,288,1.225,28.96,,,,,,,,,,,
6376,255,0.736116,28.96,,,,,,,,,,,6441
6381,223,0.412707,28.96,,,,,,,,,,,
6386,216,0.193674,28.96,,,,,,,,,,,
6391,216,0.088,28.96,,,,,,,,,,,
6396,221,0.0395,28.96,,,,,,,,,,,
6401,226,0.018,28.96,,,,,,,,,,,
6406,237,0.0082,28.96,,,,,,,,,,,
6411,251,0.0039,28.96,,,,,,,,,,,
6416,265,0.0019,28.96,,,,,,,,,,,
6421,270,0.000977,28.96,,,,,,,,,,,
6426,259,0.000537,28.96,,,,,,,,,,,
6431,245,0.000288,28.96,,,,,,,,,,,
6436,231,0.000149,28.96,,,,,,,,,,,
6446,217,7.42E-05,28.96,,,,,,,,,,,
6451,206,3.49E-05,28.96,,,,,,,,,,,
6456,196,1.57E-05,28.96,,,,,,,,,,,
